,Team,Points J5,Goals Scored J5,Goals Received J5,Points J38,Goals J38
1,Barcelona,12,13,2,87,99
2,Real Madrid,12,8,2,79,65
3,Sevilla,12,8,3,79,65
4,R. Sociedad,8,7,2,76,49
5,Getafe,9,5,4,76,57
6,Atlético,8,10,2,73,65
7,Huesca,4,2,4,61,50
8,Athletic,4,2,6,61,50
9,Alavés,4,3,6,61,50
10,Villarreal,8,6,7,60,60
11,Real Betis,9,7,6,59,57
12,Valencia,7,7,7,50,60
13,Elche,7,2,5,49,57
14,Osasuna,8,6,5,49,57
15,Celta,5,3,7,49,60
16,Cádiz,7,5,6,47,57
17,Real Valladolid,2,3,7,42,60
18,Granada,9,8,10,37,66
19,Eibar,4,4,6,33,42
20,Levante,4,6,10,29,66
