,Local,Visitante,"cuota-2,5","cuota+2,5",Goles Local pp,Goles Visitante pp,Goles Partido
0,Granada,Sevilla,1.67,2.1,2.0,1.47,3.4699999999999998
1,Celta,Atletico de Madrid,1.53,2.38,1.84,1.32,3.16
2,Real Madrid,Cádiz,2.3,1.57,2.0,1.42,3.42
3,Getafe,Barcelona,1.85,1.85,1.74,1.26,3.0
4,Eibar,Osasuna,1.5,2.5,1.26,0.95,2.21
5,Athletic Club,Levante,1.53,2.38,1.53,1.11,2.64
6,Villareal,Valencia,2.0,1.73,1.84,1.32,3.16
7,Alavés,Elche,1.44,2.62,1.53,1.11,2.64
8,Huesca,Real Valladolid,1.4,2.75,1.53,1.11,2.64
9,Real Betis,Real Sociedad,1.85,1.85,1.74,1.26,3.0
